architecture_seed,status,body_nodes,repeat_steps,shared,completed_steps,initial_validation_loss,final_validation_loss,best_validation_loss,constant_baseline_validation_loss,elapsed_seconds
0,nonfinite,10,4,True,0,,,,0.04221117123961449,0.047999708040151745
1,completed,6,8,True,80,0.04718924965709448,0.04222600697539747,0.04215908469632268,0.04221117123961449,0.7733136659953743
2,completed,4,4,False,80,0.07550112530589104,0.042807077057659626,0.042807077057659626,0.04221117123961449,0.22137995902448893
3,completed,7,8,False,80,0.04231447959318757,0.04220164194703102,0.04220164194703102,0.04221117123961449,0.24692449998110533
4,completed,7,4,True,80,0.6918145939707756,0.05155315971933305,0.05155315971933305,0.04221117123961449,0.14994195802137256
5,completed,8,4,False,80,0.04405290726572275,0.04220093507319689,0.04220093507319689,0.04221117123961449,0.3111807499662973
6,completed,5,1,True,80,0.1086568720638752,0.05544847249984741,0.05544847249984741,0.04221117123961449,0.13474087504437193
7,completed,9,8,True,80,9.849846243858337,0.04761060932651162,0.0457386402413249,0.04221117123961449,0.28236054099397734
8,completed,7,8,True,80,0.09565596096217632,0.04653685400262475,0.04522606171667576,0.04221117123961449,0.29145483300089836
9,completed,11,4,True,80,0.1534186964854598,0.04436576785519719,0.04340975498780608,0.04221117123961449,0.3447472080006264
10,nonfinite,4,4,True,0,2.1053933990696714e+18,,2.1053933990696714e+18,0.04221117123961449,0.009803624998312443
11,completed,11,2,True,80,7.527257442474365,1.2312296107411385,1.2312296107411385,0.04221117123961449,0.297962416021619
12,completed,11,2,True,80,0.16240095160901546,0.07568400539457798,0.07568400539457798,0.04221117123961449,0.12934525002492592
13,nonfinite,8,8,True,0,,,,0.04221117123961449,0.0028067909879609942
14,completed,5,4,False,80,0.3406937513500452,0.11181177385151386,0.11181177385151386,0.04221117123961449,0.11443412501830608
15,completed,7,2,True,80,0.09234516508877277,0.040669959504157305,0.040669959504157305,0.04221117123961449,0.13400504097808152
16,completed,9,2,True,80,26.543633937835693,3.867078572511673,3.867078572511673,0.04221117123961449,0.15091554098762572
17,completed,12,1,True,80,0.19716476742178202,0.09659769758582115,0.09659769758582115,0.04221117123961449,0.3193345419713296
18,completed,6,8,False,80,0.256284860894084,0.13835965935140848,0.13835965935140848,0.04221117123961449,0.18983279104577377
19,completed,4,2,False,80,100717.43282175064,4092.995783239603,4092.995783239603,0.04221117123961449,0.08108162495773286
20,completed,6,2,False,80,0.23273030668497086,0.048980897990986705,0.04434993490576744,0.04221117123961449,0.10733008297393098
21,completed,6,2,True,80,15857.725553572178,589.8937891749665,589.8937891749665,0.04221117123961449,0.08422379096737131
22,completed,6,1,True,80,0.3991295285522938,0.10516268014907837,0.10516268014907837,0.04221117123961449,0.09967074997257441
23,completed,8,1,True,80,0.925022765994072,0.1972854807972908,0.1972854807972908,0.04221117123961449,0.065006791963242
24,completed,10,1,True,80,5.456555187702179,0.7198869623243809,0.7198869623243809,0.04221117123961449,0.10604404204059392
25,completed,10,8,True,80,1.0380140393972397,0.04453348717652261,0.04257900617085397,0.04221117123961449,0.5875310000265017
26,completed,7,2,False,80,0.0896269828081131,0.04242658824659884,0.04242658824659884,0.04221117123961449,0.11845587502466515
27,completed,11,1,True,80,0.5660836510360241,0.12503807432949543,0.12503807432949543,0.04221117123961449,0.07705416699172929
28,completed,5,2,True,80,1.5636795163154602,0.19037376902997494,0.19037376902997494,0.04221117123961449,0.08033574995351955
29,completed,12,2,False,80,0.20829802379012108,0.0532387550920248,0.0532387550920248,0.04221117123961449,0.12980487500317395
30,nonfinite,12,8,True,0,,,,0.04221117123961449,0.004340166982728988
31,completed,4,2,True,80,1.478072315454483,0.1741550788283348,0.1741550788283348,0.04221117123961449,0.05899591598426923
